,repository_name,language
0,.github,
1,ads-advanced-tools-docs,
2,alexa-coho,JavaScript
3,alexa-skills-kit-js,
4,amazon-ads-advertiser-audience-normalization-sdk-py,Python
5,amazon-advertising-api-php-sdk,PHP
6,amazon-codeguru-profiler-for-spark,Java
7,amazon-frustration-free-setup-certification-tool,Python
8,amazon-hub-counter-api-docs,CSS
9,amazon-hub-counter-api-samples,Java
10,amazon-hub-counter-sdk-java,Java
11,amazon-hub-support,PowerShell
12,amazon-instant-access-sdk-java,Java
13,amazon-instant-access-sdk-net,C#
14,amazon-instant-access-sdk-php,PHP
15,amazon-instant-access-sdk-ruby,Ruby
16,amazon-launcher-integration-cordova-plugin,JavaScript
17,amazon-marketing-stream-examples,Python
18,amazon-mcf-plugin-for-magento-1,PHP
19,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
20,amazon-pay-api-sdk-dotnet,C#
21,amazon-pay-api-sdk-java,Java
22,amazon-pay-api-sdk-nodejs,JavaScript
23,amazon-pay-api-sdk-php,PHP
24,amazon-pay-sdk-csharp,C#
25,amazon-pay-sdk-java,Java
26,amazon-pay-sdk-php,PHP
27,amazon-pay-sdk-python,Python
28,amazon-pay-sdk-ruby,Ruby
29,amazon-pay-sdk-samples,PHP
30,amazon-payment-files-tools,Kotlin
31,amazon-payments-magento-2-plugin,PHP
32,amazon-ray,Python
33,amazon-s3-gst-plugin,C
34,amazon-sidewalk-android-samples,Kotlin
35,amazon-sidewalk-ios-samples,Swift
36,amazon-succinct-doc-representation,Python
37,amazon-template-library,C++
38,amazon-weak-ner-needle,Python
39,amigitenough,Go
40,amzn-drivers,C
41,amzn-ec2-ena-utilities,Python
42,auction-gym,Jupyter Notebook
43,autotrail,Python
44,aws-apigateway-client-lib,
45,aws-sigv4-signing-samples,Java
46,awsssmchaosrunner,Kotlin
47,basis-point-sets,Python
48,computer-vision-basics-in-microsoft-excel,
49,confident-sinkhorn-allocation,Jupyter Notebook
50,convolutional-handwriting-gan,Python
51,cosearcher,Python
52,credence-to-causal-estimation,Python
53,data-jack-knife,Java
54,debiased-balanced-interleaving,Jupyter Notebook
55,differential-privacy-bayesian-optimization,Python
56,distance-assistant,Python
57,drs-sample-android-app,Java
58,drs-sample-ios-app,Objective-C
59,emukit-playground,JavaScript
60,eslint-plugin-no-date-parsing,TypeScript
61,exoplayer-amazon-port,Java
62,explainable-text-vqa,
63,fashion-attribute-disentanglement,Python
64,fire-app-builder,Java
65,firetv-sample-touch-app,Java
66,ftv-livetv-sample-tv-app,Java
67,gameon-sample-game-unity,C#
68,gameon-starter-kit-unity,C#
69,git-commit-template,JavaScript
70,glad,JavaScript
71,golang-gitoperations,Go
72,halo-third-party-sdk-for-java,Java
73,halo-third-party-sdk-for-node-js,TypeScript
74,halo-third-party-sdk-for-python,Python
75,hawktracer,C++
76,image-misspell-coling2020,
77,image-to-recipe-transformers,Python
78,ion-object-mapper-dotnet,C#
79,jekyll-doc-project,HTML
80,kqr,
81,login-with-amazon-oscommerce,PHP
82,login-with-amazon-wordpress,PHP
83,merlin-on-demand-callgraph,Java
84,metalearn-leap,Python
85,milan,Scala
86,multiconer-baseline,Python
87,multilingual-keyphrase-generation,Python
88,multimodal-affinities,Python
89,MXFusion,Python
90,nimbus-jose-jwt_aws-kms-extension,Java
91,openapi-swift-code-generate,Swift
92,orthogonal-additive-gaussian-processes,Python
93,oss-attribution-builder,TypeScript
94,oss-contribution-tracker,TypeScript
95,oss-dashboard,Ruby
96,pecos,Python
97,pretraining-or-self-training,Python
98,rdma-core,C
99,refuel-open-domain-qa,Python
100,rete-thewebconf-2022,Python
101,rheoceros,Python
102,robotiq-gripper-interface,C++
103,sample-fire-tv-app-video-skill,Java
104,selling-partner-api-docs,HTML
105,selling-partner-api-models,Java
106,seqzero,Python
107,service-model-swift-code-generate,Swift
108,sketch-constructor,JavaScript
109,smoke-aws,Swift
110,smoke-aws-credentials,Swift
111,smoke-aws-generate,Swift
112,smoke-aws-support,Swift
113,smoke-dynamodb,Swift
114,smoke-framework,Swift
115,smoke-framework-application-generate,Swift
116,smoke-framework-examples,Swift
117,smoke-http,Swift
118,sparse-vqvae,Python
119,ss-aga-kgc,Python
120,sto-transformer,Python
121,style-dictionary,JavaScript
122,supply-chain-simulation-environment,Python
123,tiny-attribution-generator,TypeScript
124,trans-encoder,Python
125,user-satisfaction-modeling,Python
126,workspace-resolver,JavaScript
127,xfer,Python
128,zeek-plugin-bacnet,Zeek
129,zeek-plugin-enip,Zeek
130,zeek-plugin-profinet,Zeek
131,zeek-plugin-s7comm,Zeek
132,zeek-plugin-tds,Zeek
133,zero-shot-rlhr,Python
